epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,3461.18,0.87941,0.60446,1.15629,0.77525,0.55233,0.6214,0.4727,0.9323,0.81144,1.22231,0.000255215,0.000255215,0.000255215
54,3520.93,0.87377,0.60234,1.14771,0.81261,0.54544,0.62427,0.47381,0.92896,0.7971,1.20944,0.000250008,0.000250008,0.000250008
55,3579.94,0.8677,0.59522,1.13975,0.80116,0.54699,0.61841,0.47204,0.92817,0.80325,1.212,0.0002448,0.0002448,0.0002448
56,3641.3,0.86718,0.59392,1.1469,0.81719,0.53916,0.61847,0.47259,0.92275,0.81337,1.20805,0.000239593,0.000239593,0.000239593
57,3700.76,0.87831,0.60142,1.14699,0.78913,0.54752,0.62099,0.47584,0.92578,0.81151,1.21031,0.000234386,0.000234386,0.000234386
58,3766.58,0.88834,0.61007,1.13919,0.78202,0.54945,0.61878,0.472,0.92451,0.80059,1.21473,0.000229178,0.000229178,0.000229178
59,3831.46,0.85886,0.58838,1.13444,0.78301,0.5533,0.62529,0.47771,0.92586,0.80275,1.20827,0.000223971,0.000223971,0.000223971
60,3897.86,0.86949,0.59932,1.14165,0.76912,0.55605,0.62646,0.47748,0.92616,0.79762,1.20691,0.000218763,0.000218763,0.000218763
61,3964.77,0.86654,0.59409,1.15193,0.81165,0.54673,0.6242,0.4779,0.9298,0.79689,1.2044,0.000213556,0.000213556,0.000213556
62,4029.51,0.86769,0.59674,1.14721,0.77154,0.5519,0.62157,0.47459,0.92461,0.79028,1.20863,0.000208349,0.000208349,0.000208349
63,4091.49,0.85947,0.5901,1.13767,0.77964,0.54918,0.62225,0.47412,0.92562,0.79143,1.21249,0.000203141,0.000203141,0.000203141
64,4155.09,0.8587,0.59008,1.14353,0.77306,0.54857,0.62499,0.47773,0.92168,0.80147,1.20475,0.000197934,0.000197934,0.000197934
65,4215.99,0.85039,0.58399,1.14556,0.77516,0.55893,0.6212,0.47436,0.92668,0.80058,1.21001,0.000192726,0.000192726,0.000192726
66,4276.55,0.85612,0.59086,1.14506,0.76141,0.56291,0.62356,0.47629,0.91573,0.78836,1.20475,0.000187519,0.000187519,0.000187519
67,4337.78,0.87988,0.59708,1.13761,0.78098,0.54831,0.6197,0.47199,0.92222,0.79935,1.2018,0.000182312,0.000182312,0.000182312
68,4398.4,0.86064,0.58742,1.14658,0.76911,0.55644,0.6216,0.47552,0.91806,0.8,1.20643,0.000177104,0.000177104,0.000177104
69,4459.16,0.86997,0.5946,1.13229,0.79988,0.55071,0.62513,0.47959,0.91748,0.79288,1.20212,0.000171897,0.000171897,0.000171897
70,4520.84,0.84933,0.58318,1.14861,0.79177,0.55204,0.62474,0.47696,0.9204,0.79409,1.20088,0.000166689,0.000166689,0.000166689
71,4581.97,0.86437,0.59286,1.14176,0.80457,0.54883,0.62247,0.47528,0.92251,0.79635,1.21154,0.000161482,0.000161482,0.000161482
72,4643.25,0.84487,0.58039,1.13868,0.794,0.55224,0.62436,0.4761,0.91961,0.79541,1.21163,0.000156275,0.000156275,0.000156275
73,4703.01,0.85109,0.58206,1.14444,0.79522,0.54789,0.6222,0.47535,0.92246,0.79509,1.20705,0.000151067,0.000151067,0.000151067
74,4769.09,0.85455,0.58235,1.14769,0.78912,0.55049,0.62197,0.47626,0.91449,0.79868,1.20492,0.00014586,0.00014586,0.00014586
75,4837.89,0.85337,0.58291,1.13636,0.79386,0.54975,0.6228,0.47733,0.91614,0.7936,1.20556,0.000140652,0.000140652,0.000140652
76,4906.56,0.85111,0.58077,1.13968,0.80268,0.54079,0.62058,0.47575,0.91262,0.79055,1.20296,0.000135445,0.000135445,0.000135445
77,4975.68,0.86275,0.58883,1.13515,0.79962,0.54387,0.62577,0.47678,0.92115,0.79737,1.20676,0.000130238,0.000130238,0.000130238
78,5044.75,0.83961,0.57424,1.13163,0.79956,0.54608,0.62561,0.47799,0.91535,0.79876,1.20297,0.00012503,0.00012503,0.00012503
79,5112.94,0.84725,0.5812,1.13208,0.79553,0.54923,0.62437,0.47826,0.91583,0.8021,1.20226,0.000119823,0.000119823,0.000119823
80,5181.97,0.856,0.58399,1.1281,0.78845,0.54595,0.62055,0.47586,0.91212,0.80337,1.1977,0.000114615,0.000114615,0.000114615
81,5249.95,0.83277,0.56411,1.12444,0.79191,0.5481,0.62568,0.4798,0.91506,0.79897,1.20295,0.000109408,0.000109408,0.000109408
82,5310.81,0.83514,0.57565,1.13635,0.79328,0.54867,0.62498,0.47924,0.917,0.79336,1.20475,0.000104201,0.000104201,0.000104201
83,5371.19,0.84643,0.57304,1.12492,0.78005,0.55254,0.62705,0.48168,0.91737,0.79587,1.2089,9.89932e-05,9.89932e-05,9.89932e-05
84,5432.5,0.85328,0.58163,1.14104,0.79817,0.54624,0.62471,0.4799,0.9152,0.79206,1.20468,9.37858e-05,9.37858e-05,9.37858e-05
85,5494.45,0.84593,0.58266,1.13512,0.79229,0.54477,0.62368,0.4779,0.91499,0.79375,1.20705,8.85784e-05,8.85784e-05,8.85784e-05
86,5558.93,0.84008,0.56834,1.1316,0.80532,0.54645,0.62193,0.47635,0.91576,0.79837,1.20701,8.3371e-05,8.3371e-05,8.3371e-05
87,5621.87,0.85663,0.58262,1.1342,0.80517,0.54395,0.62268,0.47617,0.91312,0.8005,1.2052,7.81636e-05,7.81636e-05,7.81636e-05
88,5682.68,0.84294,0.57252,1.13076,0.81226,0.54682,0.62661,0.47992,0.91506,0.79003,1.20402,7.29562e-05,7.29562e-05,7.29562e-05
89,5743.22,0.84299,0.56749,1.1355,0.80575,0.54789,0.62511,0.47908,0.91655,0.7917,1.20322,6.77488e-05,6.77488e-05,6.77488e-05
90,5802.62,0.83242,0.57195,1.12587,0.78947,0.54847,0.62507,0.4793,0.91082,0.79012,1.20089,6.25414e-05,6.25414e-05,6.25414e-05
91,5867.86,0.85878,0.57718,1.13634,0.79044,0.54915,0.62536,0.47991,0.913,0.79152,1.20523,5.7334e-05,5.7334e-05,5.7334e-05
92,5936.94,0.82836,0.56612,1.13611,0.81189,0.54164,0.62616,0.48108,0.90805,0.78514,1.20058,5.21266e-05,5.21266e-05,5.21266e-05
93,6006.86,0.8383,0.57084,1.14212,0.78833,0.55213,0.62414,0.47987,0.91106,0.79197,1.20108,4.69192e-05,4.69192e-05,4.69192e-05
94,6075.47,0.84651,0.57688,1.1269,0.79652,0.55085,0.62587,0.48016,0.9064,0.79002,1.20203,4.17118e-05,4.17118e-05,4.17118e-05
95,6143.9,0.83876,0.56917,1.12894,0.80827,0.54536,0.62415,0.4799,0.90981,0.7904,1.20665,3.65044e-05,3.65044e-05,3.65044e-05
96,6212.56,0.83617,0.57172,1.13073,0.79586,0.55206,0.62479,0.48047,0.90958,0.78826,1.20268,3.1297e-05,3.1297e-05,3.1297e-05
97,6281.94,0.84396,0.57217,1.1223,0.80059,0.55049,0.62508,0.48037,0.9111,0.78703,1.20261,2.60896e-05,2.60896e-05,2.60896e-05
98,6350.27,0.83106,0.56846,1.12637,0.8084,0.54575,0.62549,0.48006,0.91026,0.78786,1.20489,2.08822e-05,2.08822e-05,2.08822e-05
99,6418.25,0.84105,0.57149,1.11727,0.80017,0.54966,0.62701,0.4813,0.91118,0.78624,1.20419,1.56748e-05,1.56748e-05,1.56748e-05
100,6487.32,0.8374,0.57114,1.12834,0.80825,0.54696,0.62658,0.48205,0.91052,0.7875,1.20163,1.04674e-05,1.04674e-05,1.04674e-05
